"Points:0","Points:1","Points:2","U:0","U:1","U:2"
0.22,0.35948,-0.089808,8.0803,0.013137,-0.0040505
0.22,0.38955,-0.1198,8.0702,0.011922,-0.0046357
0.22,0.38956,-0.14976,8.0676,0.011522,-0.005426
0.22,0.16255,-0.028333,8.1861,-0.089899,0.016466
0.22,0.17982,-0.015024,8.1767,-0.058949,-0.014195
0.22,0.059021,-0.23832,8.1371,-0.012424,-0.017545
0.22,0.03062,-0.20993,8.1475,-0.023408,-0.0053182
0.22,0.04484,-0.20983,8.1477,-0.022848,-0.014668
0.22,0.030606,-0.23844,8.1398,-0.018112,-0.0083672
0.22,0.059771,-0.26934,8.117,-0.0035092,-0.01752
0.22,0.05974,-0.23931,8.1369,-0.012058,-0.01769
0.22,0.089709,-0.29934,8.1001,0.0021159,-0.018356
0.22,0.044855,-0.19439,8.1622,-0.039517,-0.012747
0.22,0.044841,-0.2094,8.1481,-0.023073,-0.014592
0.22,0.044846,-0.1793,8.1723,-0.061187,-0.019441
0.22,0.1197,-0.32941,8.0858,0.004868,-0.01658
0.22,0.17968,-0.35952,8.0705,0.0070357,-0.013313
0.22,0.14971,-0.35949,8.074,0.005883,-0.014252
0.22,0.040591,-0.15996,8.1839,-0.084641,-0.027729
0.22,0.05,-0.15708,8.2061,-0.13246,-0.056339
0.22,0.060271,-0.1364,8.1981,-0.078664,-0.20749
0.22,0.060301,-0.12105,8.0474,0.11116,-0.35398
0.22,0.075414,-0.10561,7.827,0.35321,-0.15312
0.22,0.090626,-0.090565,8.0048,0.023769,0.27683
0.22,0.10566,-0.075366,8.1568,-0.075838,0.16215
0.22,0.12107,-0.060279,8.1698,-0.073142,0.11722
0.22,0.1371,-0.045817,8.1822,-0.099859,0.098391
0.22,0.15073,-0.030478,8.1877,-0.11899,0.048007
0.22,0.20967,-0.35955,8.0668,0.0077958,-0.01224
0.22,0.2396,-0.32953,8.0686,0.0093725,-0.012016
0.22,0.26955,-0.29953,8.0696,0.010652,-0.011247
0.22,0.29952,-0.26956,8.0696,0.011486,-0.010092
0.22,0.32952,-0.23961,8.0688,0.01178,-0.008751
0.22,0.35954,-0.20967,8.067,0.011601,-0.0073997
0.22,0.38958,-0.17974,8.0647,0.011004,-0.0061222
0.22,0.2694,0.029893,8.1204,0.0142,-0.0062795
0.22,0.23942,0.029898,8.1425,0.011194,-0.016135
0.22,0.29943,-2.267e-06,8.1061,0.012268,-0.0042059
0.22,0.32944,-0.029922,8.0935,0.012457,-0.0029729
0.22,0.20991,0.03064,8.1485,0.0080924,-0.021223
0.22,0.21019,0.029938,8.1486,0.007709,-0.02124
0.22,0.20948,0.02994,8.1489,0.007518,-0.021472
0.22,0.20962,0.014985,8.1526,-0.0026511,-0.022362
0.22,0.19469,0.015005,8.168,-0.02102,-0.037836
0.22,0.19448,0.02998,8.1665,-0.0026254,-0.043277
0.22,0.18002,9.2068e-06,8.1782,-0.055116,-0.036086
0.22,0.35948,-0.059869,8.0824,0.013336,-0.003182
0.22,0.38955,-0.08984,8.0725,0.012196,-0.0038048
0.22,0.41962,-0.11983,8.0642,0.010515,-0.0042696
0.22,0.41963,-0.1498,8.062,0.010102,-0.0049728
0.22,0.16436,-0.01453,8.1893,-0.094881,-0.010407
0.22,0.00071692,-0.23852,8.1425,-0.014861,0.0013983
0.22,0.014976,-0.21006,8.1513,-0.025372,0.0062221
0.22,0.029219,-0.20993,8.1476,-0.023424,-0.0046288
0.22,0.00070635,-0.21009,8.149,-0.018064,0.0088071
0.22,0.029895,-0.26941,8.1196,-0.0073727,-0.01221
0.22,0.029893,-0.23943,8.1397,-0.018,-0.0080323
0.22,0.029921,-0.2095,8.1478,-0.02363,-0.0047752
0.22,0.029944,-0.19449,8.1639,-0.045773,0.0055848
0.22,0.059807,-0.29938,8.1034,-0.0015172,-0.017242
0.22,0.089763,-0.32942,8.0892,0.0024596,-0.016847
0.22,0.02996,-0.17942,8.1738,-0.073468,0.013083
0.22,0.11975,-0.35948,8.0772,0.0043557,-0.014951
0.22,0.17973,-0.38958,8.0645,0.0061166,-0.011842
0.22,0.14976,-0.38956,8.0673,0.0051383,-0.012619
0.22,0.028226,-0.16258,8.1886,-0.11207,0.018685
0.22,0.030327,-0.15077,8.2095,-0.15246,0.026689
0.22,0.045625,-0.13715,8.2515,-0.2209,-0.088634
0.22,0.045403,-0.12142,8.1321,-0.068336,-0.15819
0.22,0.060366,-0.10586,7.8575,0.39859,-0.42759
0.22,0.075504,-0.090609,7.7065,0.16429,0.030182
0.22,0.09065,-0.075465,7.9293,-0.12523,0.30401
0.22,0.10589,-0.060338,7.9656,-0.064919,0.14602
0.22,0.12142,-0.045433,8.1531,-0.096172,0.15061
0.22,0.1362,-0.03043,8.1843,-0.14572,0.11592
0.22,0.15032,-0.015155,8.1944,-0.14622,0.023903
0.22,0.20972,-0.38961,8.0614,0.0067903,-0.010945
0.22,0.23966,-0.35958,8.0631,0.008197,-0.011127
0.22,0.26961,-0.32957,8.0642,0.0094062,-0.010785
0.22,0.29958,-0.29959,8.0647,0.010306,-0.01004
0.22,0.32957,-0.26962,8.0643,0.010768,-0.0090007
0.22,0.35958,-0.23967,8.0633,0.01078,-0.0078427
0.22,0.3896,-0.20972,8.0617,0.010381,-0.0066765
0.22,0.41964,-0.17978,8.0596,0.0096021,-0.0055641
0.22,0.26933,0.059773,8.1177,0.019173,-0.0022627
0.22,0.2393,0.059749,8.1387,0.020838,-0.010377
0.22,0.29941,0.029903,8.1061,0.016333,-0.0033492
0.22,0.32945,-2.5721e-06,8.0941,0.013417,-0.0027938
0.22,0.35949,-0.029934,8.0837,0.013345,-0.0024804
0.22,0.20973,0.060461,8.1442,0.021239,-0.012835
0.22,0.21001,0.059756,8.1444,0.021148,-0.013105
0.22,0.2093,0.059757,8.1446,0.021189,-0.013236
0.22,0.20938,0.044873,8.1496,0.01709,-0.020864
0.22,0.19435,0.044915,8.1645,0.015572,-0.03673
0.22,0.19436,0.059791,8.1612,0.029123,-0.023217
0.22,0.17982,0.015039,8.1785,-0.0429,-0.06116
0.22,0.1794,0.03004,8.1774,-0.010259,-0.070953
0.22,0.165,1.9524e-05,8.1905,-0.094597,-0.048469
0.22,0.38955,-0.059891,8.0741,0.012464,-0.0029511
0.22,0.41961,-0.089866,8.066,0.010834,-0.0034933
0.22,0.44968,-0.11986,8.0592,0.0089303,-0.003895
0.22,0.44969,-0.14983,8.0574,0.0085503,-0.0045327
0.22,-0.00070751,-0.23852,8.1425,-0.014311,0.0018025
0.22,-0.029211,-0.20993,8.1461,-0.0052727,0.012999
0.22,-0.014963,-0.21006,8.15,-0.012252,0.015529
0.22,-0.029173,-0.23845,8.1404,-0.00575,0.0051194
0.22,4.9583e-06,-0.26944,8.1198,-0.0074925,-0.0066209
0.22,4.6554e-06,-0.23951,8.1423,-0.014524,0.0014792
0.22,0.014977,-0.20963,8.1517,-0.025632,0.0066674
0.22,7.0928e-06,-0.20967,8.1492,-0.017926,0.0093778
0.22,0.014996,-0.1947,8.1651,-0.04106,0.023492
0.22,1.017e-05,-0.1948,8.1652,-0.028755,0.03476
0.22,0.029907,-0.29942,8.1055,-0.0042015,-0.014728
0.22,0.05984,-0.32943,8.0917,-4.1274e-05,-0.016146
0.22,0.089806,-0.35948,8.0799,0.0025118,-0.015225
0.22,0.015028,-0.17982,8.1749,-0.064737,0.044504
0.22,0.11979,-0.38955,8.0699,0.0038917,-0.01319
0.22,0.17978,-0.41965,8.0594,0.0053584,-0.010242
0.22,0.1498,-0.41963,8.0618,0.0045316,-0.010882
0.22,0.014523,-0.16436,8.1875,-0.097303,0.072208
0.22,0.015127,-0.15032,8.1997,-0.10139,0.11745
0.22,0.030362,-0.13622,8.2675,-0.21919,0.087789
0.22,0.0303,-0.12115,8.1522,-0.14943,0.18225
0.22,0.045344,-0.10605,7.9888,0.31069,-0.29541
0.22,0.060418,-0.09073,7.7599,0.31759,-0.3619
0.22,0.075563,-0.075529,7.5505,-0.046561,0.18746
0.22,0.090761,-0.060392,7.395,-0.039209,0.31747
0.22,0.10607,-0.045336,7.6827,-0.081968,0.22845
0.22,0.12115,-0.030317,8.1023,-0.1664,0.17175
0.22,0.13572,-0.015181,8.1906,-0.1906,0.091956
0.22,0.15035,-9.046e-06,8.1989,-0.15975,-0.024761
0.22,0.20976,-0.41966,8.0569,0.0059488,-0.0095102
0.22,0.23971,-0.38964,8.0583,0.0071781,-0.010011
0.22,0.26967,-0.35962,8.0595,0.0082882,-0.010036
0.22,0.29964,-0.32962,8.0601,0.0091666,-0.0096497
0.22,0.32962,-0.29964,8.0601,0.0097217,-0.0089465
0.22,0.35962,-0.26967,8.0596,0.0098813,-0.0080328
0.22,0.38963,-0.23972,8.0585,0.0096468,-0.0070327
0.22,0.41966,-0.20976,8.0571,0.0090402,-0.0060243
0.22,0.4497,-0.17981,8.0554,0.0081092,-0.0050576
0.22,0.26925,0.089646,8.1134,0.021226,0.0030642
0.22,0.23914,0.089566,8.133,0.023291,0.0013072
0.22,0.29938,0.059805,8.104,0.018587,-0.00054477
0.22,0.32945,0.029916,8.0938,0.01599,-0.0016276
0.22,0.3595,-2.3342e-06,8.0841,0.013985,-0.0018911
0.22,0.38955,-0.029945,8.0752,0.012703,-0.0021279
0.22,0.23833,0.090207,8.133,0.023306,0.0016554
0.22,0.23768,0.089561,8.1334,0.023462,0.001493
0.22,0.20914,0.0746,8.1438,0.026485,-0.0042091
0.22,0.19412,0.074576,8.1578,0.037571,-0.0071427
0.22,0.20898,0.08946,8.1405,0.026876,0.0055817
0.22,0.19384,0.089397,8.1506,0.034074,0.0073972
0.22,0.17925,0.044996,8.1756,0.022705,-0.058056
0.22,0.17958,0.05988,8.1709,0.041153,-0.036445
0.22,0.16436,0.014526,8.1924,-0.072217,-0.094525
0.22,0.16256,0.028413,8.1932,-0.015918,-0.10978
0.22,0.41961,-0.059908,8.0673,0.011126,-0.0026708
0.22,0.44967,-0.089887,8.0607,0.0092459,-0.0031798
0.22,0.47974,-0.11988,8.0552,0.0072297,-0.003573
0.22,0.47975,-0.14985,8.0537,0.0069088,-0.0041545
0.22,-0.059013,-0.23833,8.1362,0.001474,0.004595
0.22,-0.044838,-0.20983,8.1481,0.00053552,0.015539
0.22,-0.03061,-0.20993,8.146,-0.0047369,0.012969
0.22,-0.059018,-0.20976,8.1427,0.0044175,0.010159
0.22,-0.029884,-0.23944,8.1402,-0.0054999,0.0049589
0.22,-0.029884,-0.26941,8.1188,-0.0051832,-0.0042078
0.22,-0.029912,-0.2095,8.1463,-0.0050449,0.01348
0.22,-0.029935,-0.1945,8.1623,-0.0037407,0.04179
0.22,-0.014963,-0.20963,8.1504,-0.012381,0.016103
0.22,-0.014977,-0.1947,8.1644,-0.016189,0.040185
0.22,5.8103e-06,-0.29943,8.1055,-0.0049061,-0.010985
0.22,1.4766e-05,-0.18003,8.1747,-0.041588,0.05934
0.22,0.029923,-0.32945,8.0934,-0.0021724,-0.014703
0.22,0.059868,-0.35949,8.0819,0.00058848,-0.014942
0.22,0.08984,-0.38955,8.0721,0.0024408,-0.013471
0.22,0.11983,-0.41962,8.0639,0.003495,-0.011358
0.22,0.17981,-0.4497,8.0552,0.0047443,-0.0085759
0.22,0.14983,-0.44969,8.0571,0.0040368,-0.0090889
0.22,1.8867e-05,-0.165,8.1855,-0.056335,0.098138
0.22,8.3084e-06,-0.15035,8.1913,-0.034214,0.1607
0.22,0.015156,-0.13572,8.2332,-0.10402,0.20583
0.22,0.015144,-0.12087,8.0427,-0.097206,0.36302
0.22,0.030258,-0.10599,7.9899,0.15477,0.09324
0.22,0.045343,-0.090831,7.9904,0.35114,-0.35973
0.22,0.060463,-0.075605,7.5937,0.11233,-0.20348
0.22,0.075632,-0.060438,7.0652,0.09237,0.27772
0.22,0.090855,-0.045328,6.7116,-0.037086,0.43496
0.22,0.10601,-0.030258,7.4782,-0.2153,0.2379
0.22,0.12089,-0.01516,7.9187,-0.27004,0.1109
0.22,0.13562,-2.2482e-05,8.205,-0.23389,0.018989
0.22,0.15034,0.015088,8.2051,-0.12068,-0.095913
0.22,0.2098,-0.44972,8.0531,0.0052677,-0.007993
0.22,0.23975,-0.41969,8.0543,0.0063114,-0.0087386
0.22,0.26972,-0.38967,8.0553,0.007304,-0.0090738
0.22,0.29968,-0.35966,8.0559,0.0081221,-0.0090081
0.22,0.32966,-0.32967,8.0562,0.0086995,-0.0086159
0.22,0.35965,-0.29969,8.056,0.0089578,-0.0079735
0.22,0.38966,-0.26972,8.0554,0.0088588,-0.007183
0.22,0.41968,-0.23976,8.0544,0.0084062,-0.006325
0.22,0.44972,-0.2098,8.0533,0.0076209,-0.0054552
0.22,0.47976,-0.17984,8.052,0.0065451,-0.0046295
0.22,0.26921,0.11954,8.108,0.020302,0.0077298
0.22,0.23906,0.11942,8.1249,0.022125,0.0095833
0.22,0.29934,0.089709,8.1006,0.019445,0.0031656
0.22,0.32943,0.059836,8.0922,0.017238,0.00067924
0.22,0.35949,0.02993,8.0836,0.015192,-0.00067359
0.22,0.38955,-1.883e-06,8.0755,0.013151,-0.0012726
0.22,0.41961,-0.029954,8.0681,0.011384,-0.0018129
0.22,0.20884,0.11927,8.1396,0.024841,0.014006
